date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:41:19,PERMIT,3.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,21.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,3.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,21.0,2024,3,10,14:41:19,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:41:19,PERMIT,3.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,21.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,3.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,21.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,4.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,80.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,4.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,80.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,4.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,80.0,2024,3,10,14:41:19,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:41:19,PERMIT,4.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,80.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,4.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,80.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,2.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,23.0,2024,3,10,14:41:19,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:19,PERMIT,2.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,23.0,2024,3,10,14:41:19,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:19,PERMIT,2.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,23.0,2024,3,10,14:41:19,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:41:20,PERMIT,2.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,23.0,2024,3,10,14:41:20,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:20,PERMIT,2.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,23.0,2024,3,10,14:41:20,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:41:20,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,50217.0,2024,3,10,14:41:20,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:20,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,50217.0,2024,3,10,14:41:20,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:20,PERMIT,7.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,50217.0,2024,3,10,14:41:20,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:41:20,PERMIT,7.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,50217.0,2024,3,10,14:41:20,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:20,PERMIT,7.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,50217.0,2024,3,10,14:41:20,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:20,DENY,34.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,26068.0,2024,3,10,14:41:20,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:22,DENY,34.0,eth0,10.172.11.2,172.17.0.2,TCP,47562.0,46239.0,2024,3,10,14:41:22,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:22,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,53812.0,2024,3,10,14:41:22,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:22,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,53812.0,2024,3,10,14:41:22,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:22,DENY,34.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,34955.0,2024,3,10,14:41:22,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:41:24,DENY,34.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,35825.0,2024,3,10,14:41:24,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:41:26,DENY,34.0,eth0,10.0.0.1,172.17.0.2,TCP,47564.0,45338.0,2024,3,10,14:41:26,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:26,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,50674.0,2024,3,10,14:41:26,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:26,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,50674.0,2024,3,10,14:41:26,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:26,PERMIT,7.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,50674.0,2024,3,10,14:41:26,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:41:26,PERMIT,7.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,50674.0,2024,3,10,14:41:26,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:26,PERMIT,7.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,50674.0,2024,3,10,14:41:26,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:26,DENY,34.0,eth0,28.12.15.20,172.17.0.2,TCP,47562.0,12698.0,2024,3,10,14:41:26,Registered,Registered,14,A,B,Public,Private
2024-03-10 14:41:27,DENY,34.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,64474.0,2024,3,10,14:41:27,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:27,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,59785.0,2024,3,10,14:41:27,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:27,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,59785.0,2024,3,10,14:41:27,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:27,PERMIT,7.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,59785.0,2024,3,10,14:41:27,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:41:27,DENY,34.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,21741.0,2024,3,10,14:41:27,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:41:29,DENY,34.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,56980.0,2024,3,10,14:41:29,Registered,Dynamic,14,C,B,Private,Private
2024-03-10 14:41:29,DENY,34.0,eth0,89.89.56.2,172.17.0.2,TCP,47562.0,38851.0,2024,3,10,14:41:29,Registered,Registered,14,A,B,Public,Private
2024-03-10 14:41:31,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,47562.0,27544.0,2024,3,10,14:41:31,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:41:31,DENY,34.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,26313.0,2024,3,10,14:41:31,Registered,Registered,14,A,B,Private,Private
2024-03-10 14:41:33,DENY,34.0,eth0,194.25.56.2,172.17.0.2,TCP,47562.0,14309.0,2024,3,10,14:41:33,Registered,Registered,14,C,B,Public,Private
2024-03-10 14:41:33,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,47562.0,49956.0,2024,3,10,14:41:33,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:41:35,DENY,34.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,33355.0,2024,3,10,14:41:35,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:41:35,DENY,34.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,51116.0,2024,3,10,14:41:35,Registered,Dynamic,14,A,B,Private,Private
2024-03-10 14:41:37,DENY,34.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,26813.0,2024,3,10,14:41:37,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:41:37,DENY,34.0,eth0,172.5.2.8,172.17.0.2,TCP,47562.0,29797.0,2024,3,10,14:41:37,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:41:39,DENY,34.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,848.0,2024,3,10,14:41:39,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:39,PERMIT,3.0,eth0,10.0.0.1,172.17.0.2,TCP,47562.0,20.0,2024,3,10,14:41:39,Registered,well-known,14,A,B,Private,Private
